sample,group,tsRNA-1,tsRNA.2,tsRNA_3,tsRNA_4,tsRNA_5
N01,Normal,1.1,2.0,4.1,3.2,5.1
N02,Normal,1.3,2.2,4.0,3.0,4.9
N03,Normal,1.0,1.9,4.2,3.3,5.0
N04,Normal,1.2,2.1,4.3,3.1,5.2
N05,Normal,1.4,2.0,3.9,3.4,5.1
N06,Normal,1.1,2.3,4.1,3.2,4.8
N07,Normal,1.2,2.1,4.0,3.3,5.3
N08,Normal,1.3,2.2,4.2,3.1,5.0
N09,Normal,1.0,1.8,3.8,3.5,4.9
N10,Normal,1.2,2.0,4.1,3.2,5.1
T01,Tumor,3.2,4.1,4.2,3.3,5.0
T02,Tumor,3.4,4.0,4.0,3.2,5.2
T03,Tumor,3.1,4.3,4.1,3.1,4.9
T04,Tumor,3.5,4.2,4.3,3.4,5.1
T05,Tumor,3.3,4.4,3.9,3.2,5.0
T06,Tumor,3.6,4.1,4.2,3.3,5.3
T07,Tumor,3.2,4.3,4.1,3.0,4.8
T08,Tumor,3.4,4.2,4.0,3.5,5.1
T09,Tumor,3.1,4.0,4.2,3.2,5.0
T10,Tumor,3.5,4.3,4.1,3.4,5.2
